,lat,lon,objectid,treeid,height,spread,diameter,notes,scientific,common,state_id,site_address,date_height,date_spread,circumf,date_circumference,year_designated,date_desig,ownership,neighborhood,neighborhood_cd,plaque_adjustment_date,plaque_notes
263,45.49181497,-122.5944248,263,333,20,30,28,,Ulmus glabra `Camperdownii',Camperdown elm,1S2E08CC  25900,4223 SE 67th Ave,2019/09/24 17:55:13+00,2019/09/24 17:55:20+00,7.6,2019/09/24 17:55:31+00,2017,2017/03/22 00:00:00+00,Private,FOSTER-POWELL,22,2019/09/24 22:26:35+00,Good condition 
264,45.57175942,-122.6861089,264,334,88,41,36,,Pinus ponderosa,Ponderosa pine,1N1E16AD  7700,6804 N Campbell Ave,2019/09/06 20:50:55+00,2019/09/06 20:51:00+00,9.6,2019/09/06 20:51:07+00,2017,2017/03/22 00:00:00+00,Right of Way,ARBOR LODGE,2,2019/09/06 22:16:21+00,Good condition 
265,45.46825833,-122.7243451,265,330,62,31,21,,Taxodium distichum,Baldcypress,1S1E19DA  1000,4600 SW Maplewood Rd,2018/08/10 00:00:00+00,2018/08/10 00:00:00+00,5.5,2018/08/10 00:00:00+00,2017,2017/03/22 00:00:00+00,Private,MAPLEWOOD,38,2018/08/10 00:00:00+00,
266,45.56746053,-122.6236436,266,335,54,63,25,,Carpinus betulus,European hornbeam,1N1E13DA  3600,Fernhill Park,2018/08/10 00:00:00+00,2018/08/10 00:00:00+00,6.65,2018/08/10 00:00:00+00,2017,2017/03/22 00:00:00+00,Portland Parks & Recreation (Fernhill Park),CONCORDIA,14,2018/08/10 00:00:00+00,
267,45.56760226,-122.6237406,267,336,64,60,27,,Carpinus betulus,European hornbeam,1N1E13DA  3600,Fernhill Park,2018/08/10 00:00:00+00,2018/08/10 00:00:00+00,7,2018/08/10 00:00:00+00,2017,2017/03/22 00:00:00+00,Portland Parks & Recreation (Fernhill Park),CONCORDIA,14,2018/08/10 00:00:00+00,
268,45.600465,-122.755746,268,337,167,34,53,Enter park from Reno Ave. Follow path to the first walkway intersection. Tree is located at the intersection on the NW side.,Abies grandis,Grand fir,1N1W01    100,10325 N. Lombard Ave.,2017/05/01 00:00:00+00,2017/05/01 00:00:00+00,13.9,2017/05/01 00:00:00+00,2018,2018/02/28 00:00:00+00,Portland Parks & Recreation,ST. JOHNS,61,,
269,45.552052,-122.686513,269,338,79,99,49,Located in NW corner of pocket park,Platanus x acerifolia,London planetree,1N1E21DA  22600,3967 N. Overlook Blvd.,2017/05/01 00:00:00+00,2017/05/01 00:00:00+00,12.8,2017/05/01 00:00:00+00,2018,2018/02/28 00:00:00+00,Right of Way,OVERLOOK,47,,
270,45.552048,-122.686271,270,339,65,87,59,Located in NE corner of pocket park,Platanus x acerifolia,London planetree,1N1E21DA  22600,3967 N. Overlook Blvd.,2017/05/01 00:00:00+00,2017/05/01 00:00:00+00,15.6,2017/05/01 00:00:00+00,2018,2018/02/28 00:00:00+00,Right of Way,OVERLOOK,47,,
271,45.551837,-122.686293,271,340,69,103,67,Located in South corner of pocket park,Platanus x acerifolia,London planetree,1N1E21DA  22600,3967 N. Overlook Blvd.,2017/05/01 00:00:00+00,2017/05/01 00:00:00+00,17.6,2017/05/01 00:00:00+00,2018,2018/02/28 00:00:00+00,Right of Way,OVERLOOK,47,,
272,45.554056,-122.68087,272,341,80,90,49,Near the NW corner of 1335 N. Mason St.,Platanus x acerifolia,London planetree,1N1E22CB  7100,4284 N. Maryland Ave.,2017/05/01 00:00:00+00,2017/05/01 00:00:00+00,12.8,2017/05/01 00:00:00+00,2018,2018/02/28 00:00:00+00,Right of Way,OVERLOOK,47,,
273,45.555869,-122.667537,273,342,64,89,49,Visible from alley,Juglans regia,English walnut,1N1E22AC  6200,4528 N. Vancouver Ave.,2017/05/01 00:00:00+00,2017/05/01 00:00:00+00,12.7,2017/05/01 00:00:00+00,2018,2018/02/28 00:00:00+00,"Private, back yard",HUMBOLDT,30,,
274,45.561112,-122.665929,274,343,79,108,63,,Quercus rubra,Northern red oak,1N1E22AA  5800,5245 N. Vancouver Ave.,2017/05/01 00:00:00+00,2017/05/01 00:00:00+00,16.5,2017/05/01 00:00:00+00,2018,2018/02/28 00:00:00+00,Right of Way,HUMBOLDT,30,,
275,45.565599,-122.674153,275,344,37,41,24,On N. Simpson St.,Sassafras albidum,Sassafras,1N1E15CD  2700,5901 N. Borthwick Ave.,2017/05/01 00:00:00+00,2017/05/01 00:00:00+00,6.2,2017/05/01 00:00:00+00,2018,2018/02/28 00:00:00+00,Right of Way,HUMBOLDT,30,,
276,45.503749,-122.629487,276,345,67,37,31,,Chamaecyparis pisifera 'Boulevard',Boulevard cypress,1S1E12AB  7700,3401 SE Clinton St.,2019/09/16 19:15:39+00,2019/09/16 19:15:32+00,8.4,2019/09/16 19:15:45+00,2018,2018/02/28 00:00:00+00,"Private, front yard",RICHMOND,54,2019/09/16 22:25:39+00,Good condition 
277,NA,NA,277,346,99,60,51,Struck by lightning in 1960,Fagus sylvatica f. purpurea,Copper beech,1S1E12AA  12202,3839 SE Woodward St.,2017/05/01 00:00:00+00,2017/05/01 00:00:00+00,13.3,2017/05/01 00:00:00+00,2018,2018/02/28 00:00:00+00,Private,RICHMOND,54,,
278,NA,NA,278,347,95,NA,50,Behind a fence and hedge at top of driveway,Fagus sylvatica,European beech,1S1E24BA  10100,7110 SE 29th Ave.,2017/05/01 00:00:00+00,,13.1,2017/05/01 00:00:00+00,2018,2018/02/28 00:00:00+00,Private,EASTMORELAND,19,,
279,NA,NA,279,348,144,58,58,,Pseudotsuga menziesii,Douglas-fir,1S1E20DC  100,8207 SW 30th Ave.,2017/05/01 00:00:00+00,2017/05/01 00:00:00+00,15.3,2017/05/01 00:00:00+00,2018,2018/02/28 00:00:00+00,Right of Way,MULTNOMAH,43,,
280,NA,NA,280,349,121,38,39,,Pinus ponderosa,Ponderosa pine,1S1E20CB  1300,4124 SW Canby St.,2017/05/01 00:00:00+00,2017/05/01 00:00:00+00,10.2,2017/05/01 00:00:00+00,2018,2018/02/28 00:00:00+00,Right of Way,MULTNOMAH,43,,
281,NA,NA,281,350,51,NA,39,Directly east of the house,Parrotia persica,Persian ironwood,1S1E19DA  1000,4600 SW Maplewood Rd.,2017/05/01 00:00:00+00,,10.15,2017/05/01 00:00:00+00,2018,2018/02/28 00:00:00+00,Private,MAPLEWOOD,38,,
282,NA,NA,282,351,36,34,13,South of dirt driveway,Halesia monticola,Mountain silverbell,1S1E19DA  1000,4600 SW Maplewood Rd.,2017/05/01 00:00:00+00,2017/05/01 00:00:00+00,3.5,2017/05/01 00:00:00+00,2018,2018/02/28 00:00:00+00,Private,MAPLEWOOD,38,,
283,NA,NA,283,352,48,38,16,Between two temporary sheds,Acer pictum,Painted maple,1S1E19DA  1000,4600 SW Maplewood Rd.,2017/05/01 00:00:00+00,2017/05/01 00:00:00+00,4.2,2017/05/01 00:00:00+00,2018,2018/02/28 00:00:00+00,Private,MAPLEWOOD,38,,
284,45.5879,-122.75966,284,353,50,53,16,,Gymnocladus dioica,Kentucky coffeetree,1N1W12BD  8100,6635 N Baltimore Ave.,2018/06/01 00:00:00+00,2018/06/01 00:00:00+00,4.2,2018/06/01 00:00:00+00,2019,2019/03/27 00:00:00+00,Park,CATHEDRAL PARK,13,,
285,45.58296,-122.7085,285,354,55,68,55,,Umbellularia californica,Oregon myrtle,1N1E08DB  700,8235 & 8241 N Chautauqua Blvd.,2018/06/01 00:00:00+00,2018/06/01 00:00:00+00,14.3,2018/06/01 00:00:00+00,2019,2019/03/27 00:00:00+00,Private,PORTSMOUTH,51,,
286,45.59444,-122.66039,286,355,76,61,45,,Pinus densiflora,Japanese red pine,1N1E02C   300,10040 NE 6th Dr.,2018/06/01 00:00:00+00,2018/06/01 00:00:00+00,11.8,2018/06/01 00:00:00+00,2019,2019/03/27 00:00:00+00,Park,EAST COLUMBIA,18,,
287,45.57234,-122.63302,287,356,86,42,46,,Metasequoia glyptostroboides,Dawn redwood,1N1E13BD  3500,6805 NE 32nd Ave.,2018/06/15 00:00:00+00,2018/06/15 00:00:00+00,15.1,2018/06/15 00:00:00+00,2019,2019/03/27 00:00:00+00,Private,CONCORDIA,14,,
288,45.55068,-122.64176,288,357,103,70,48,,Fagus sylvatica f. purpurea,Copper beech,1N1E23DD  18600,3834 NE 23rd Ave.,2018/06/01 00:00:00+00,2018/06/01 00:00:00+00,12.5,2018/06/01 00:00:00+00,2019,2019/03/27 00:00:00+00,Private,ALAMEDA,1,,
289,45.54787,-122.6483,289,358,66,56,46,,Acer campestre,Hedge maple,1N1E26AB  3700,3424 NE 17th Ave.,2018/06/01 00:00:00+00,2018/06/01 00:00:00+00,12,2018/06/01 00:00:00+00,2019,2019/03/27 00:00:00+00,ROW,IRVINGTON,31,,
290,45.52897,-122.72963,290,359,268,60,71,,Pseudotsuga menziesii,Douglas-fir,1N1E31AC  100,5151 NW Cornell Rd.,2018/06/15 00:00:00+00,2018/06/15 00:00:00+00,18.7,2018/06/15 00:00:00+00,2019,2019/03/27 00:00:00+00,Private,FOREST PARK,21,,
291,45.50332,-122.57665,291,360,72,58,39,,Castanea sativa,Spanish Chestnut,1S2E09BB  5603,2704 SE 84th Ave.,2018/07/13 00:00:00+00,2018/07/13 00:00:00+00,10.1,2018/07/13 00:00:00+00,2019,2019/03/27 00:00:00+00,ROW,POWELLHURST-GILBERT,52,,
292,45.48796,-122.4994,292,361,115,41,122,,Populus nigra var. italica,Lombardy poplar,1S2E13    100,16160 SE Powell Blvd.,2017/07/19 00:00:00+00,2017/07/19 00:00:00+00,32,2017/07/19 00:00:00+00,2019,2019/03/27 00:00:00+00,Park,PLEASANT VALLEY,50,,
293,45.47402,-122.53543,293,362,135,70,52,,Cedrus libani ssp. atlantica,Blue Atlas cedar,1S2E23BB  900,6704 SE 122nd Ave.,2018/07/13 00:00:00+00,2018/07/13 00:00:00+00,13.5,2018/07/13 00:00:00+00,2019,2019/03/27 00:00:00+00,Park,PLEASANT VALLEY,50,,
294,45.47168,-122.67839,294,363,104,60,42,,Liquidambar styraciflua,American sweetgum,1S1E22BC  4500,7300 SW Brier Pl.,2018/06/01 00:00:00+00,2018/06/01 00:00:00+00,10.9,2018/06/01 00:00:00+00,2019,2019/03/27 00:00:00+00,ROW,SOUTH PORTLAND,59,,
295,45.47139,-122.67845,295,364,114,65,51,,Quercus palustris,Pin oak,1S1E22BC  5500,7326 SW Brier Pl.,2018/06/15 00:00:00+00,2018/06/15 00:00:00+00,13.4,2018/06/15 00:00:00+00,2019,2019/03/27 00:00:00+00,ROW,SOUTH PORTLAND,59,,
296,45.592786,-122.749692,296,365,67,43,NA,,Abies pinsapo,Spanish fir,,9008 N Charleston Ave,2019/06/07 00:00:00+00,2019/06/07 00:00:00+00,NA,2017/05/01 00:00:00+00,2020,2020/06/24 00:00:00+00,Private,ST. JOHNS,61,,
297,45.574525,-122.666154,297,366,84,69,45,,Platanus x acerifolia,London planetree,,23 NE Morgan St,2019/06/07 00:00:00+00,2019/06/07 00:00:00+00,12.2,2019/06/07 00:00:00+00,2020,2020/06/24 00:00:00+00,Private,PIEDMONT,49,,
298,45.567222,-122.674549,298,367,97,49,39,,Tilia tomentosa,Silver linden,,700 N Rosa Parks Way,2019/06/07 00:00:00+00,2019/06/07 00:00:00+00,10.7,2019/06/07 00:00:00+00,2020,2020/06/24 00:00:00+00,Parks,PIEDMONT,49,,
